Dimension,RMSE
1,0.1530965603225194
2,0.15213252632269342
3,0.14227319954121415
4,0.14196062123414982
5,0.14115976159468038
6,0.13527263501721573
7,0.13363849019624519
8,0.13333216879775964
9,0.13212636894661903
10,0.1320928526470524
11,0.13082398825225552
12,0.13044107119049078
13,0.130257913819736
14,0.13024047209697687
15,0.1300695479507283
16,0.1299234237474043
17,0.12990968258210595
18,0.1299404018563168
19,0.1297851849007602
20,0.12975043026422117
21,0.12973084357303255
22,0.12969891246589302
23,0.12942792015263088
24,0.12908141986933577
25,0.12876310545434191
26,0.1292919207388229
27,0.12874295504267308
28,0.12861088841189963
29,0.12865938283953468
30,0.12881590281110367
31,0.128749748722914
32,0.12841324745633997
33,0.12842140631806243
34,0.1286130855748952
35,0.12837737767892607
36,0.12791205938280234
37,0.12788028136749346
38,0.12830695361470543
39,0.12773690439237845
40,0.12790661499756786
41,0.12784156630871693
42,0.12774639732107138
43,0.12794467596946388
44,0.12724456342107437
45,0.12776747920699663
46,0.1272962710993128
47,0.12732620534221417
48,0.1273962369622602
49,0.12768318486882355
50,0.1273296040899999
51,0.12750122841609143
52,0.12712241796711732
53,0.12743250394785086
54,0.12750187599242052
55,0.12739700758536668
56,0.12749085821080589
57,0.12732799664132202
58,0.1274095412891244
59,0.12722076748674493
60,0.12740615315567716
61,0.1275437233857387
62,0.12698023851608017
63,0.12718872355273325
64,0.12692808751690224
65,0.12699292059055894
66,0.1271431239572922
67,0.12716826101633968
68,0.12705595921356208
69,0.12704020104422795
70,0.12717670453208813
71,0.12706347126128986
72,0.1270441387284135
73,0.12688850423934608
74,0.12697749251440002
75,0.12687131464856763
76,0.12691852893191616
77,0.12685912780559558
78,0.12671695054854495
79,0.12681364555814803
80,0.12691918811702935
81,0.1266756641646326
82,0.12672689471552356
83,0.12656890689172634
84,0.12644894636426557
85,0.12665178738898702
86,0.12649486788374334
87,0.1265609956577726
88,0.1265037190223541
89,0.12670975010173757
90,0.12661711714796026
91,0.12666207620700168
92,0.12657701936220705
93,0.1267010942862644
94,0.1263433343160367
95,0.12645160995274862
96,0.12616795855537272
97,0.12657822942288122
98,0.12608670151985504
99,0.12622559728848237
100,0.12649691171621935
101,0.1258844016147659
102,0.125997384865469
103,0.12645442731323417
104,0.1264007203978249
105,0.1259887952033416
106,0.12612933648479283
107,0.12624010883844622
108,0.1264080796841799
109,0.12643677124111266
110,0.1261730477484853
111,0.12631026933295744
112,0.1260763953976802
113,0.12622443172956005
114,0.12628509373744626
115,0.12595613959598537
116,0.12622189508084997
117,0.12606168388134634
118,0.12595545414795473
119,0.1260127944979477
120,0.12593860186279948
121,0.12598790671218058
122,0.12607749545758443
123,0.12599543154576
124,0.12569001996010812
125,0.12568517127527112
126,0.1256321684327867
127,0.1259189672369911
128,0.12588425535341927
129,0.12599206317321382
130,0.12577837542956435
131,0.12598051892830156
132,0.12582633582192138
133,0.12541295453631848
134,0.12551546716950193
135,0.1256464928549422
136,0.12553383446896363
137,0.12562014450615785
138,0.12523658895400624
139,0.12569828669360755
140,0.12555008636512344
141,0.12585218645632745
142,0.1255591152738479
143,0.12540637673326413
144,0.12562387914410786
145,0.1257153435423488
146,0.12565162774541158
147,0.12545365477802142
148,0.12569028246536496
149,0.1256491426085256
150,0.12538877199003345
151,0.12570629289209198
152,0.12572074459594418
153,0.12577456936355885
154,0.12566986255440268
155,0.1254075666093492
156,0.1253484496441333
157,0.12554453716507227
158,0.12539674769044756
159,0.1254705839848973
160,0.12555155851400188
161,0.12552632318779208
162,0.1256268470533009
163,0.12523934014758176
164,0.12530852362155118
165,0.1255844578410644
166,0.12511143481371714
167,0.125681568803257
168,0.12515038329577372
169,0.12560696215316935
170,0.12546461478736878
171,0.125444170756622
172,0.12498274338904758
173,0.12543511441197483
174,0.1255886551777728
175,0.1254542319030769
176,0.125249815255396
177,0.12536933815347628
178,0.12553472075499145
179,0.1255939464055881
180,0.1255136603599748
181,0.12521634301403534
182,0.1253759559802186
183,0.12525478646225374
184,0.12547087024500211
185,0.12551177347642611
186,0.1252301647237186
187,0.12537779920749795
188,0.12510052615942868
189,0.1252921347159086
190,0.12531788835369517
191,0.12509676648029233
192,0.12547060559106865
193,0.12531660971976014
194,0.12544661855652123
195,0.12529233330546113
196,0.12503413055116291
197,0.12538469502198094
198,0.12551439987385876
199,0.125298130801703
200,0.125360779934344
201,0.12517807244423443
202,0.12525963214230107
203,0.12535719010885987
204,0.1254320511017786
205,0.1252063213945247
206,0.1253590317647811
207,0.12540048873585005
208,0.1254779962348616
209,0.12556650900271948
210,0.1252406996223175
211,0.12546627372784375
212,0.12538031222990398
213,0.12548056099786525
214,0.12529574541502184
215,0.12536652928511768
216,0.1253331790102775
217,0.12540768767776667
218,0.12538580370966404
219,0.1253694048842894
220,0.12532251523370425
221,0.12542076228627722
222,0.1255361597877433
223,0.12534845485915863
224,0.12542449384411958
225,0.12524399084655183
226,0.12549366955691219
227,0.1254376004859596
228,0.12562399465076957
229,0.1254367211820136
230,0.1254261964941045
231,0.12545950444342338
232,0.12535972735684808
233,0.12521801215526432
234,0.12540008162245728
235,0.12535553610140798
236,0.12546714619938562
237,0.125423053248001
238,0.12540078422949422
239,0.1254776531610678
240,0.12538443387444093
241,0.12535419198805176
242,0.12533541404419457
243,0.12532340641210957
244,0.1253234168224449
245,0.12530108070655993
246,0.12531384143313257
247,0.12531166283454023
248,0.12529251787009718
249,0.1253102726285671
250,0.12530363931835792
251,0.12531160900609423
252,0.12529729418182475
253,0.12530207012807465
254,0.12530304156928454
255,0.12534929857314994
256,0.12534480872256074
257,0.12537382867968275
258,0.12537192675043354
259,0.12540703689662616
260,0.1254064097854652
261,0.12543096115415275
262,0.1253678102685609
263,0.12537159394096728
264,0.12538439938884058
265,0.125349279096188
